trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.5, 'e': 0.2862184352679895}",20,7,3.467088785454768,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,4,-9.318491983395202,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.28111259386278603}",25,9,-0.7457684938826761,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2785939314996033}",20,0,4.034011454531743,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.2760978353971936}",25,8,13.432794505096183,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.2736241033704081}",30,10,-0.7767580361101751,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.2711725350455999}",25,16,14.431767381246582,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.2687429318443944}",25,11,-37.19063593820697,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.2663350969676039}",35,21,-14.691024804403234,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.2639488353792869}",30,0,-42.842658964751536,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.26158395379094995}",30,10,37.39339806477658,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.25924026064589156}",25,7,-51.650089978014016,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.25691756610368544}",25,19,12.490607076310955,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2546156820248038}",20,12,13.062184234334671,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.25233442195537764}",20,2,-1.0656089546621295,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.25007360111209415}",25,0,6.953332594084292,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.2478330363672288}",25,10,-32.051064999640126,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.24561254623381226}",25,7,17.132031986140685,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.24341195085092973}",20,0,-5.235422120896748,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.24123107196915192}",30,21,19.488957768539976,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2390697329360971}",25,17,16.346078546553773,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.23692775868212176}",25,12,-0.26251921038145243,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.23480497570614037}",20,9,-30.68301040493946,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.23270121206157107}",25,0,-62.088124766360025,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.23061629734240854}",20,12,-69.4641058387587,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
164,False,"{'a': 0.5, 'e': 0.2285500626694205}",20,8,-4.778904217187258,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.2265023406764688}",20,4,5.209305881137138,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.22447296549695234}",20,12,15.684354512096181,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.22246177275037213}",25,6,-51.711580399821905,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.22046859952901599}",20,1,1.331809449098686,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.21849328438476318}",30,15,5.679891480159892,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.2165356673160071}",20,9,19.04573247186083,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.21459558975469478}",20,8,17.166086984678408,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.2126728945534831}",30,15,18.603960257849515,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.2107674259730094}",20,13,6.59890709145186,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.208879029669277}",25,13,22.110497012968008,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.20700755268115265}",20,14,-2.063456263649811,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.2051528434179772}",25,7,-43.28448926951622,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.20331475164728618}",25,18,7.444123570956743,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.2014931284826413}",30,19,-23.292364410195997,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.19968782637157012}",25,8,-45.99055960551868,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.1978986990836147}",20,0,8.947586143728081,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.19612560169848647}",20,14,0.23892003423142727,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.1943683905943277}",30,2,-6.929602975631939,"{0: 22, 1: 4, 2: 1, 3: 1, 4: 0}",1
